Name,Ingredient,images_link,likes,step,difficulty
[炒麵](https://icook.tw/recipes/426204),油麵，豬肉燥，黑木耳，洋蔥，紅蘿蔔，高麗菜，豬肉絲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/426204/84031605984935a1.jpg,14,6,中
[雞腿肉炒麵](https://icook.tw/recipes/427648),無骨雞腿排，小白菜，麵條，紅蘿蔔絲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/427648/cb8b1da926523762.jpg,4,4,易
[涼麵](https://icook.tw/recipes/419109),雞腿肉或雞胸肉，小黃瓜，紅蘿蔔，油麵或義大利麵,https://tokyo-kitchen.icook.network/uploads/recipe/cover/419109/9382cb7406517d5b.jpg,18,4,易
[泡菜](https://icook.tw/recipes/420597),高麗菜，紅蘿蔔，辣椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/420597/6704d68f794315cc.jpg,123,7,難
[滷豬肉](https://icook.tw/recipes/420481),豬五花肉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/420481/2635dd2512904b69.jpg,42,7,難
[胡椒蝦](https://icook.tw/recipes/424788),白蝦,https://tokyo-kitchen.icook.network/uploads/recipe/cover/424788/75fcb28d89c33727.jpg,10,5,中
[打拋豬](https://icook.tw/recipes/426720),豬絞肉，番茄,https://tokyo-kitchen.icook.network/uploads/recipe/cover/426720/3f533d41a370f648.jpg,4,18,難
[涼麵](https://icook.tw/recipes/417569),義大利麵，紅蘿蔔絲，小黃瓜絲，雞胸肉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/417569/8e1cd581150d7e63.jpg,21,8,難
[炸醬](https://icook.tw/recipes/419248),豬絞肉，豆乾，毛豆，紅蘿蔔絲，小黃瓜絲，豆芽菜,https://tokyo-kitchen.icook.network/uploads/recipe/cover/419248/c2bcfaf55d6d7b7e.jpg,59,6,中
[炒烏龍](https://icook.tw/recipes/425938),烏龍麵，小白菜，洋蔥，豬絞肉，鴻禧菇,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425938/1ee9204255d132b6.jpg,4,7,難
[炒麵](https://icook.tw/recipes/415306),油麵，豬肉絲，小白菜，紅蘿蔔絲，洋蔥，乾香菇,https://tokyo-kitchen.icook.network/uploads/recipe/cover/415306/4f34319fa187998d.jpg,277,13,難
