Name,Ingredient,images_link,likes,step,difficulty
[炒麵](https://icook.tw/recipes/422913),豬梅花肉片，洋蔥絲，高麗菜絲，紅蘿蔔絲，油麵，海苔粉，雞蛋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/422913/b1248b27f81f94e9.jpg,10,8,難
[茶碗蒸](https://icook.tw/recipes/425380),雞蛋，柴魚片，鮮味炒手,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425380/3a22e03f317b079a.jpg,7,5,中
[叉燒豬肉](https://icook.tw/recipes/425226),豬腩肉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425226/c2436a819fdddb88.jpg,4,2,易
[豬排](https://icook.tw/recipes/423900),豬里肌肉片，麵粉，麵包粉，雞蛋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423900/b2760136a5d5168f.jpg,26,4,易
[南瓜佃煮](https://icook.tw/recipes/427665),南瓜，白芝麻,https://tokyo-kitchen.icook.network/uploads/recipe/cover/427665/2d75521c2e774a61.jpg,7,2,易
[蒸蛋](https://icook.tw/recipes/423169),雞蛋，柴魚，紅蘿蔔，鮮香菇,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423169/142613be7e7a3e05.jpg,39,4,易
[親子丼](https://icook.tw/recipes/425679),去骨雞腿肉，洋蔥，雞蛋，太白粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425679/51c47014a807b061.jpg,89,8,難
[芝士豆腐](https://icook.tw/recipes/409033),嫩豆腐，起司片，柴魚片，海苔酥，白芝麻,https://tokyo-kitchen.icook.network/uploads/recipe/cover/409033/129efa3b8549c324.jpg,23,5,中
[叉燒豬肉](https://icook.tw/recipes/426365),豬梅花肉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/426365/365abce253daf8e1.jpg,5,5,中
[蘿蔔佃煮](https://icook.tw/recipes/424532),白蘿蔔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/424532/1855f402081ce8bd.jpg,66,4,易
[煎茄子](https://icook.tw/recipes/425828),茄子,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425828/9e1ee28736519cdd.jpg,6,2,易
[漢堡排](https://icook.tw/recipes/424842),牛絞肉，豬絞肉，洋蔥碎，麵包粉，牛奶，雞蛋，起司,https://tokyo-kitchen.icook.network/uploads/recipe/cover/424842/f4532e8fd4e1ab7b.jpg,19,8,難
[烏龍麵](https://icook.tw/recipes/427857),豬肉，青菜，洋蔥，紅蘿蔔絲，魚板，烏龍麵,https://tokyo-kitchen.icook.network/uploads/recipe/cover/427857/23d8abbeb4adbbff.jpg,1,6,中
[味噌叉燒拉麵](https://icook.tw/recipes/426373),豬叉燒肉，冷凍拉麵，高麗菜絲，海帶芽，玉米粒，溏心蛋，白芝麻，海苔片，鰹魚粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/426373/09c610417ea20897.jpg,6,5,中
[馬鈴薯煮牛肉](https://icook.tw/recipes/426166),馬鈴薯，甘筍，洋?，冷凍肥牛肉片，芋絲，金針菇，乾香菇片,https://tokyo-kitchen.icook.network/uploads/recipe/cover/426166/e20922098b88924c.jpg,10,6,中
[炒蛋](https://icook.tw/recipes/421402),雞蛋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/421402/083b4e3ecb276e6b.jpg,5,3,易
[五行拼盤](https://icook.tw/recipes/423291),秋葵，茭白筍，紅蘿蔔，黃椒，新鮮川耳,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423291/f344c1e2f8d35b5a.jpg,4,3,易
[炸豆腐](https://icook.tw/recipes/419825),雞蛋豆腐，低筋麵粉，雞蛋，麵包粉，柴魚片,https://tokyo-kitchen.icook.network/uploads/recipe/cover/419825/de7b510c9bccbbc4.jpg,64,3,易
[辣漬大根](https://icook.tw/recipes/425247),白蘿蔔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425247/a7539d43c02a715d.jpg,14,6,中
[涼麵](https://icook.tw/recipes/413655),日式喬麥麵,https://tokyo-kitchen.icook.network/uploads/recipe/cover/413655/74c5a9b97614f98b.jpg,9,3,易
[焗烤茄](https://icook.tw/recipes/422488),日本圓茄，大蝦仁，花枝，起司絲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/422488/63df940b45958b26.jpg,7,14,難
[炒牛蒡](https://icook.tw/recipes/420919),牛蒡，紅蘿蔔，白芝麻,https://tokyo-kitchen.icook.network/uploads/recipe/cover/420919/c7a3034cdc7d7157.jpg,15,13,難
[蒸蛋](https://icook.tw/recipes/412805),雞蛋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/412805/6bb390410be6be52.jpg,37,7,難
[煎豬排](https://icook.tw/recipes/424415),豬里肌肉片，鰹魚粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/424415/10d71289147630bc.jpg,10,6,中
[軟糖](https://icook.tw/recipes/415053),牛奶，太白粉，黃豆粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/415053/f49b7a9b06c42313.jpg,14,8,難
[軟骨雞肉丸](https://icook.tw/recipes/424244),雞胸肉，雞軟骨，雞蛋，太白粉，板豆腐,https://tokyo-kitchen.icook.network/uploads/recipe/cover/424244/46f1c5a9e776f18e.jpg,26,8,難
