Name,Ingredient,images_link,likes,step,difficulty
[茄醬海鮮義大利麵](https://icook.tw/recipes/315646),番茄，活凍小卷，去尾冷凍蝦，洋蔥，番茄罐頭，蒜頭,https://tokyo-kitchen.icook.network/uploads/recipe/cover/315646/fb20799af7721dd2.jpg,20,9,難
[義式鹹豬肉飯](https://icook.tw/recipes/342612),帶皮豬五花肉條，雞蛋，花椰菜，義式香料，黑胡椒粒，白飯，鹽,https://tokyo-kitchen.icook.network/uploads/recipe/cover/342612/c3651d5f44addaa7.jpg,10,4,易
[檸檬鮪魚義大利麵](https://icook.tw/recipes/377462),義大利麵，鮪魚罐頭，菠菜，蒜頭，辣椒，檸檬，鹽巴，橄欖油，胡椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/377462/3fb388532c381442.jpg,46,8,難
[意大利香草麵包](https://icook.tw/recipes/351507),高筋麵粉，鹽，糖，酵母，水，橄欖油，橄欖油，迷迭香，粗粒海鹽,https://tokyo-kitchen.icook.network/uploads/recipe/cover/351507/17174c6046339e44.jpg,9,7,難
[青醬義大利麵](https://icook.tw/recipes/359424),義大利麵，紅蘿蔔塊，娃娃菜，金針菇，鴻禧菇，青醬，鹽巴，牛奶,https://tokyo-kitchen.icook.network/uploads/recipe/cover/359424/6e863f447f1d2fce.jpg,4,3,易
[露營食譜-超級焗烤義大利麵](https://icook.tw/recipes/371896),絞肉，義大利麵，洋蔥丁，蒜末，薑末，鹽巴，黑胡椒粒，台塑-義大利醬，焗烤乳酪絲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/371896/ebaa06b9e1b4fa2f.jpg,41,8,難
[焗烤白醬義大利麵](https://icook.tw/recipes/368469),高麗菜，紅蘿蔔，牛奶，麵粉，洋蔥，蒜末，雞腿肉（去骨），乳酪絲，橄欖油（沙拉油），義大利麵，鰹魚粉，鹽，黑胡椒粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/368469/869b6f8b1579904a.jpg,35,4,易
[蒜香義大利麵](https://icook.tw/recipes/319744),義大利麵（直麵），大蒜，辣椒，初榨橄欖油，水，鹽,https://tokyo-kitchen.icook.network/uploads/recipe/cover/319744/432f4f02de3a6f87.jpg,85,17,難
[蒜香櫛瓜蝦仁義大利麵](https://icook.tw/recipes/374128),櫛瓜，蝦仁，蒜頭，橄欖油，白葡萄酒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/374128/8723546b797b427b.jpg,43,6,中
[微波煮義大利麵](https://icook.tw/recipes/312921),義大利麵，熱水，市售番茄肉醬，鹽,https://tokyo-kitchen.icook.network/uploads/recipe/cover/312921/2bd34f52035e1181.jpg,43,5,中
[番茄花椰菜義大利面](https://icook.tw/recipes/371399),義大利麵條，番茄醬（非沾醬），豬肉，綠花椰菜，雪菇，洋蔥，紅蘿蔔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/371399/0f4f1e0b81f8185c.jpg,5,4,易
[自家風波隆納義大利麵](https://icook.tw/recipes/389382),豬絞肉或牛絞肉，紅酒，市售的番茄肉醬，番茄，茄汁義大利麵醬，牛奶，奶油，迷迭香，鼠尾草，肉桂粉，黑胡椒，鹽，義大利巴西利，帕馬森起司粉，寬扁義大利麵,https://tokyo-kitchen.icook.network/uploads/recipe/cover/389382/c6faf7b191c5ebc7.jpg,5,13,難
[即食雞胸料理包-義式紅椒](https://icook.tw/recipes/363450),雞胸肉，小磨坊蒜風味油，小磨坊義大利香料，小磨坊玫瑰鹽，小磨坊紅辣椒粉，小磨坊香蒜粒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/363450/c128b982d216b734.jpg,14,6,中
[琴酒牡蠣義大利麵](https://icook.tw/recipes/357785),喜歡的義大利麵，大蒜，辣椒，牡蠣（蚵仔），豆苗或其他蔬菜，牛奶或鮮奶油，鹽，黑胡椒，琴酒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/357785/b0393f91a59454dc.jpg,38,9,難
[蒜炒鮮蝦透抽義大利麵\](https://icook.tw/recipes/384065),蝦子，透抽，義大利麵，橄欖油，奶油，九層塔，鹽巴、乾辣椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/384065/cc819a31eb6bf7d6.jpg,48,9,難
[義式提拉米蘇](https://icook.tw/recipes/388425),蛋黃，砂糖A，砂糖B，蛋白，低筋麵粉，奶油乳酪，砂糖C，蛋黃，鮮奶油，砂糖D，蛋白，砂糖E，可可粉，美式咖啡,https://tokyo-kitchen.icook.network/uploads/recipe/cover/388425/b8dea6715b73b540.jpg,165,14,難
[白醬菇菇雞義大利麵](https://icook.tw/recipes/371653),義大利麵，雞胸肉，香菇，鴻喜菇，洋蔥，蒜頭，節瓜，甜椒，玉米筍，無糖豆漿，乳酪絲，鹽巴，黑胡椒粒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/371653/62aa5618d834e1cf.jpg,34,10,難
[奶油乳酪鮮蝦雞肉義大利麵](https://icook.tw/recipes/384605),Arla 奶油乳酪特選香料口味，洋蔥，雞胸肉，蝦仁，義大利麵條，鹽、黑胡椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/384605/713c896637524f68.jpg,14,8,難
[鮭魚奶香蛋黃義大利麵](https://icook.tw/recipes/342614),造型義大利麵，洋蔥，玉米，菇，鮭魚，配方奶，蛋黃,https://tokyo-kitchen.icook.network/uploads/recipe/cover/342614/a2fed5d709ba1701.jpg,43,5,中
[銷魂手撕豬](https://icook.tw/recipes/420061),豬胛心肉，義式香料，醬油，水果醋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/420061/91d4997f4da58aff.jpg,3,1,易
[白酒蛤蜊義大利麵](https://icook.tw/recipes/326070),大蒜，洋蔥，橄欖油，鹽，蛤蜊，菇類(依喜好選擇)本次用金喜菇，乾燥辣椒，開水，煮麵用，便宜白酒或米酒，義大利麵,https://tokyo-kitchen.icook.network/uploads/recipe/cover/326070/9b0b8f95abbeebda.jpg,40,11,難
[番茄肉醬義大利水管麵](https://icook.tw/recipes/313737),洋蔥，細絞肉，紅酒，濃縮番茄醬，雞高湯，月桂葉，糖，?、黑胡椒，義大利水管麵，帕瑪森乾酪，新鮮百里香,https://tokyo-kitchen.icook.network/uploads/recipe/cover/313737/a3029a137fe98961.jpg,150,9,難
[香檬草蝦義大利麵](https://icook.tw/recipes/311995),草蝦（或白蝦），蒜頭，義大利麵，辣椒，香檬原汁，鹽，黑胡椒碎粒，橄欖油，白酒，煮麵水,https://tokyo-kitchen.icook.network/uploads/recipe/cover/311995/6d853afef4dea713.jpg,33,4,易
[純素黑松露蘑菇意大利飯](https://icook.tw/recipes/363341),阿柏里歐米，腰果奶，黑松露醬，素牛油，蘆筍，啡蘑菇，蠔菇，水，鹽，素雞粉，素芝士粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/363341/7b4ae3ac2f1e6d73.jpg,27,2,易
[義式蕃茄肉醬&蕃茄肉醬義大利麵](https://icook.tw/recipes/341205),新豬肉，牛蕃茄(紅蕃茄)，九層塔，水，義大利麵，蕃茄醬，鹽，義大利香料，黑胡椒粒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/341205/9a3b6e144ec8f876.jpg,220,15,難
[白醬雞胸肉義大利麵](https://icook.tw/recipes/325194),奶油，鮮奶，黑胡椒，白醬，蒜頭，義大利麵，花椰菜，洋蔥，金針菇，雞胸肉，玉米筍,https://tokyo-kitchen.icook.network/uploads/recipe/cover/325194/ba6fb2b102c503e5.jpg,402,6,中
[蒜香海瓜子義大利麵](https://icook.tw/recipes/368421),蒜頭，海瓜子，辣椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/368421/d2b29cefd6f2928a.jpg,13,7,難
[微波煮義大利麵~免動火的義麵料理](https://icook.tw/recipes/312921),義大利麵，熱水，市售番茄肉醬，鹽,https://tokyo-kitchen.icook.network/uploads/recipe/cover/312921/2bd34f52035e1181.jpg,43,5,中
[義式蕃茄肉醬&蕃茄肉醬義大利麵(新豬肉)](https://icook.tw/recipes/341205),新豬肉，牛蕃茄(紅蕃茄)，九層塔，水，義大利麵，蕃茄醬，鹽，義大利香料，黑胡椒粒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/341205/9a3b6e144ec8f876.jpg,220,15,難
[義大利紅醬植物肉丸](https://icook.tw/recipes/371334),植物肉丸，牛番茄，顆粒番茄醬，洋蔥，新鮮羅勒，橄欖油，黑胡椒，鹽，義大利香料,https://tokyo-kitchen.icook.network/uploads/recipe/cover/371334/e49bdf9017ddefcd.jpg,13,3,易
[古典義大利肉醬](https://icook.tw/recipes/344426),培根，大蒜，黃洋蔥，紅蘿蔔（大），西芹，牛絞肉，豬絞肉，番茄泥，鹽，黑胡椒，白酒，牛奶，百里香,https://tokyo-kitchen.icook.network/uploads/recipe/cover/344426/0699ad42f74525dc.jpg,41,7,難
[印度烤餅](https://icook.tw/recipes/422917),高筋麵粉，冰鮮奶，糖，鹽，酵母粉，橄欖油，義式香料,https://tokyo-kitchen.icook.network/uploads/recipe/cover/422917/e49e88d402f0b756.jpg,34,7,難
[蕃茄醬燒杏鮑菇棒棒腿](https://icook.tw/recipes/408747),洋蔥，豬絞肉（細），杏鮑菇，酒，醬油，黑胡椒，義式蕃茄肉醬，水，鹽，義大利香料,https://tokyo-kitchen.icook.network/uploads/recipe/cover/408747/4627f2b3c8484f55.jpg,2,7,難
[香蒜培根蘑菇白醬義大利麵&紐約克牛排](https://icook.tw/recipes/392513),培根，義大利麵條，橄欖油 奶油，蘑菇，花椰菜，蒜，紐約克牛排，海鹽 黑胡椒，鮮奶，起司,https://tokyo-kitchen.icook.network/uploads/recipe/cover/392513/20e52d46249cf7c5.jpg,10,3,易
[拿坡里義大利麵](https://icook.tw/recipes/371754),義大利筆管麵，培根肉，洋蔥，小磨坊百里香葉，鑫鑫腸，大蒜，帕瑪森起司粉，鹽巴，蕃茄醬，水果醋，泰式雞醬(可省略），烏醋，味霖（糖），牛奶，小磨坊百里香葉，鹽巴,https://tokyo-kitchen.icook.network/uploads/recipe/cover/371754/eee71e7bc4047e58.jpg,16,22,難
[迷迭香雞排佐白醬義大利麵](https://icook.tw/recipes/375757),義大利麵，鮮奶油，洋菇，洋蔥，白酒，黑胡椒，乳酪絲，鹽，雞腿排，黑胡椒，鹽，迷迭香,https://tokyo-kitchen.icook.network/uploads/recipe/cover/375757/6eb4a53f7c82e8e7.jpg,22,8,難
[意式豬腩卷)](https://icook.tw/recipes/358303),豬腩，百里香，迷迭香，鼠尾草，粗鹽，蒜粉，辣椒粉，黑椒粉，西蘭花，馬鈴薯，蕃茄，洋蔥，黑橄欖，特級初榨橄欖油，意大利黑醋A，意大利黑醋B，鹽和黑椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/358303/b37cc02172982cfd.jpg,17,14,難
[香檬草蝦義大利麵](https://icook.tw/recipes/311995),草蝦（或白蝦），蒜頭，義大利麵，辣椒，香檬原汁，鹽，黑胡椒碎粒，橄欖油，白酒，煮麵水,https://tokyo-kitchen.icook.network/uploads/recipe/cover/311995/6d853afef4dea713.jpg,33,4,易
